brand_id,brand_name_raw,brand_name_std_variant
BRD_20250855,바르비종 베이커리카페,바르비종베이커리카페
BRD_20213638,베르벨,베르벨
BRD_20220785,W.52,w52
BRD_20180123,WOO&#39;Z,woo39z
BRD_20080100039,뚜레쥬르,뚜레쥬르
BRD_20240651,해월당,해월당
BRD_20220253,곤트란쉐리에(Gontran Cherrier),곤트란쉐리에
BRD_20220253,곤트란쉐리에(Gontran Cherrier),gontrancherrier
BRD_20260504,명장시대,명장시대
BRD_20212413,웨인스베이글스(Wayne’s Bagels),웨인스베이글스
BRD_20212413,웨인스베이글스(Wayne’s Bagels),waynesbagels
BRD_20211738,빵스커피,빵스커피
BRD_20200098,북문당,북문당
BRD_20160998,쟈빠따,쟈빠따
BRD_20160997,빵장수꽈배기,빵장수꽈배기
BRD_20151021,대구 근대골목 단팥빵,대구근대골목단팥빵
BRD_20150052,빵장수단팥빵,빵장수단팥빵
BRD_20090600036,정도너츠,정도너츠
BRD_20250796,올레찹쌀꽈배기,올레찹쌀꽈배기
BRD_20250361,다굽다,다굽다
BRD_20214544,더생와플,더생와플
BRD_20190079,소미미,소미미
BRD_20251043,루나파이,루나파이
BRD_20250833,송추 콩언니 콩파이,송추콩언니콩파이
BRD_20220529,하르당,하르당
BRD_20250749,디에그,디에그
BRD_20180954,다이닝박스(DINING BOX),다이닝박스
BRD_20180954,다이닝박스(DINING BOX),diningbox
BRD_20250007,너티153(Nutty 153),nutty153
BRD_20250007,너티153(Nutty 153),너티153
BRD_20212079,몽샹82,몽샹82
BRD_20211247,아이엠도넛(IamDonut),iamdonut
BRD_20211247,아이엠도넛(IamDonut),아이엠도넛
BRD_20212010,복호두,복호두
BRD_20160948,이앤바이(이n바이),이앤바이
BRD_20160948,이앤바이(이n바이),이n바이
BRD_20251096,진심 카스테라,진심카스테라
BRD_20212038,컵넛(cupnut),cupnut
BRD_20212038,컵넛(cupnut),컵넛
BRD_20080200287,브레댄코(bread&co.DAILY-NEW),breadcodailynew
BRD_20080200287,브레댄코(bread&co.DAILY-NEW),브레댄코
BRD_20220797,타타스베이글,타타스베이글
BRD_20240347,우스블랑,우스블랑
BRD_20214201,동성로왕찹쌀꽈배기,동성로왕찹쌀꽈배기
BRD_20231221,홍자씨샌드위치,홍자씨샌드위치
BRD_20231261,치즈당,치즈당
BRD_20231314,윤쉐프 정직한제빵소,윤쉐프정직한제빵소
BRD_20231367,모찌방앗간,모찌방앗간
BRD_20231433,크로하우스,크로하우스
BRD_20080200063,신라명과,신라명과
BRD_20150085,못난이꽈배기,못난이꽈배기
BRD_20231540,도나스데이,도나스데이
BRD_20260353,무화광장,무화광장
BRD_20241738,성수동꿀꽈배기,성수동꿀꽈배기
BRD_20213743,성북당 십원빵,성북당십원빵
BRD_20190157,청춘당 찹쌀 꽈배기,청춘당찹쌀꽈배기
BRD_20231013,오또도넛,오또도넛
BRD_20250972,작금 베이크샵,작금베이크샵
BRD_20260674,하품스베이크 (hapoom's bake),하품스베이크
BRD_20260674,하품스베이크 (hapoom's bake),hapoomsbake
BRD_20260660,대박츄러스,대박츄러스
BRD_20141213,트윗젤(Twitzel),트윗젤
BRD_20141213,트윗젤(Twitzel),twitzel
BRD_20180858,모찌모찌브레드,모찌모찌브레드
BRD_20080200064,파리바게뜨,파리바게뜨
BRD_20260120,야미케이크 (YAMMY CAKE),yammycake
BRD_20260120,야미케이크 (YAMMY CAKE),야미케이크
BRD_20140306,롤링핀,롤링핀
BRD_20260434,빵백화점,빵백화점
BRD_20230232,뉴욕베이글,뉴욕베이글
BRD_20201275,호두당,호두당
BRD_20240455,밀키샵,밀키샵
BRD_20221433,와플스튜디오,와플스튜디오
BRD_20251458,구로명물호떡 쉐프윤,구로명물호떡쉐프윤
BRD_20260511,쿨키즈쿠키,쿨키즈쿠키
BRD_20240809,쉐프윤 찹쌀꽈배기 고로케,쉐프윤찹쌀꽈배기고로케
BRD_20213672,쏘쏘사라다,쏘쏘사라다
BRD_20170833,빵사부식빵공방,빵사부식빵공방
BRD_20161137,명랑시대쌀핫도그,명랑시대쌀핫도그
BRD_20201520,도넛킬러,도넛킬러
BRD_20220121,와플샵,와플샵
BRD_20211453,GLOER,gloer
BRD_20250711,화연제과,화연제과
BRD_20260472,버터북&마켓북(Butter Book&Market Book),버터북마켓북
BRD_20260472,버터북&마켓북(Butter Book&Market Book),butterbookmarketbook
BRD_20250899,hotdonut,hotdonut
BRD_20251057,순수당,순수당
BRD_20200530,그여행(B.H.F.H),bhfh
BRD_20200530,그여행(B.H.F.H),그여행
BRD_20200572,에그홀릭(EGG HOLIC),eggholic
BRD_20200572,에그홀릭(EGG HOLIC),에그홀릭
BRD_20260730,르말뒤페이,르말뒤페이
BRD_20170014,맘스케익,맘스케익
BRD_20230085,포르피노,포르피노
BRD_20240478,화이트리에,화이트리에
BRD_20250560,그릭 앤 요왕,그릭앤요왕
BRD_20200720,권실장 참마 찹쌀 꽈배기,권실장참마찹쌀꽈배기
BRD_20220702,대구서문옛날카스테라,대구서문옛날카스테라
BRD_20180759,토스트카페마리,토스트카페마리
BRD_20212883,숲속호두과자,숲속호두과자
BRD_20251262,청춘이오란다,청춘이오란다
BRD_20250224,로더비,로더비
BRD_20180512,홍루이젠,홍루이젠
BRD_20231360,구스켓 인 더 크로플,구스켓인더크로플
BRD_20251197,그로서리커피,그로서리커피
BRD_20231519,와플앤피플 (Waffle&people),와플앤피플
BRD_20231519,와플앤피플 (Waffle&people),wafflepeople
BRD_20080400011,풍년제과,풍년제과
BRD_20170827,핫브레드 ,핫브레드
BRD_20241484,해피번,해피번
BRD_20231531,밀라플라,밀라플라
BRD_20213619,홀리앤졸리,홀리앤졸리
BRD_20241197,사오베이커리,사오베이커리
BRD_20260932,노마드오븐(Nomade Oven),nomadeoven
BRD_20260932,노마드오븐(Nomade Oven),노마드오븐
BRD_20260846,엔젤리쉬,엔젤리쉬
BRD_20171316,슈케익하우스(Chou Cake House),choucakehouse
BRD_20171316,슈케익하우스(Chou Cake House),슈케익하우스
BRD_20231033,필프리(FEEL FREE),필프리
BRD_20231033,필프리(FEEL FREE),feelfree
BRD_20231878,스토리오브라망,스토리오브라망
BRD_20240358,돗꽈비,돗꽈비
BRD_20211039,호두파야,호두파야
BRD_20231547,브레드코코,브레드코코
BRD_20250105,옹기종기 땅콩빵,옹기종기땅콩빵
BRD_20212412,샌드로4가,샌드로4가
BRD_20240434,흥덕제과,흥덕제과
BRD_20240723,올드몬트베이글,올드몬트베이글
BRD_20080200109,따삐오,따삐오
BRD_20211903,제이델링,제이델링
BRD_20230189,꽈배기진,꽈배기진
BRD_20180144,파더스베이글(father'sbagel),파더스베이글
BRD_20180144,파더스베이글(father'sbagel),fathersbagel
BRD_20240749,뉴욕러브베이글,뉴욕러브베이글
BRD_20260792,프루케,프루케
BRD_20251346,라미,라미
BRD_20260891,계란빵클럽,계란빵클럽
BRD_20215016,테이블비(Table.B),테이블비
BRD_20215016,테이블비(Table.B),tableb
BRD_20240611,에그서울,에그서울
BRD_20260803,킹스베이커리&킹스사라다,킹스베이커리킹스사라다
BRD_20260809,아양로호두과자,아양로호두과자
BRD_20200272,이화당,이화당
BRD_20212797,금포당,금포당
BRD_20214606,곰상사,곰상사
BRD_20214798,롤스타,롤스타
BRD_20230468,소림사,소림사
BRD_20231075,코코케이크,코코케이크
BRD_20241007,솔티라이엇,솔티라이엇
BRD_20190569,더착한베이커리카페,더착한베이커리카페
BRD_20210139,빵쌤(BBANGSSAEM),bbangssaem
BRD_20210139,빵쌤(BBANGSSAEM),빵쌤
BRD_20210423,카페드30W,카페드30w
BRD_20211086,CAFE DE CRAFT Bakery,cafedecraftbakery
BRD_20211337,크로엔젤,크로엔젤
BRD_20213373,씨이오베이커리,씨이오베이커리
BRD_20210746,CAFE DE 220VOLT,cafede220volt
BRD_20241056,압구정샌드위치,압구정샌드위치
BRD_20080100675,호밀호두,호밀호두
BRD_20160907,아리랑수제핫도그,아리랑수제핫도그
BRD_20211362,와필레(WAFILLE),와필레
BRD_20211362,와필레(WAFILLE),wafille
BRD_20213268,데일리브레드,데일리브레드
BRD_20140288,스트릿츄러스,스트릿츄러스
BRD_20241258,소금빵앗간,소금빵앗간
BRD_20240814,보리원,보리원
BRD_20230856,무이공간,무이공간
BRD_20201332,79파운야드(79 FOUNYARD),79파운야드
BRD_20201332,79파운야드(79 FOUNYARD),79founyard
