brand_id,brand_name,store_id,store_name_raw,store_name_std,address_raw,address_std,sido_nm,ccg_nm,district_nm,ccg_id,district_cd,longitude,latitude,coordinate_source,store_status,match_method,match_confidence,area_id,area_name,area_type,spatial_join_status,exclusion_reason,source_name,source_date,_store_name_norm,_store_addr_norm,_brand_norm
BRD_20080100039,뚜레쥬르,MA010120220800442854,뚜레쥬르대림3동점,뚜레쥬르대림3동점,서울특별시 영등포구 가마산로 352,서울특별시영등포구가마산로352,서울특별시,영등포구,영등포구,11560,11560,126.898162858842,37.4999640027506,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120139,대림3동사거리,발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르대림3동점,서울특별시영등포구가마산로352,뚜레쥬르
BRD_20080500016,던킨/던킨도너츠,MA010120220800443592,던킨도너츠중대 병원점,던킨도너츠중대병원점,서울특별시 동작구 흑석로 102,서울특별시동작구흑석로102,서울특별시,동작구,동작구,11590,11590,126.960415445699,37.5060380029217,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110841,중대부중,골목상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,던킨도너츠중대병원점,서울특별시동작구흑석로102,던킨던킨도너츠
BRD_20170827,핫브레드 ,MA010120220800464833,핫브레드서초역점,핫브레드서초역점,서울특별시 서초구 서초대로 224,서울특별시서초구서초대로224,서울특별시,서초구,서초구,11650,11650,127.006739333241,37.4910066471694,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120169,서초역,발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,핫브레드서초역점,서울특별시서초구서초대로224,핫브레드
BRD_20080100039,뚜레쥬르,MA010120220800483137,뚜레쥬르,뚜레쥬르,서울특별시 강서구 화곡로 194-15,서울특별시강서구화곡로19415,서울특별시,강서구,강서구,11500,11500,126.843677749783,37.5426660233992,소상공인시장진흥공단 상가(상권)정보,미확인,exact,high,3130217,화곡본동시장,전통시장,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르,서울특별시강서구화곡로19415,뚜레쥬르
BRD_20080200064,파리바게뜨,MA010120220800485029,파리바게뜨우 장산역점,파리바게뜨우장산역점,서울특별시 강서구 강서로 247,서울특별시강서구강서로247,서울특별시,강서구,강서구,11500,11500,126.836039950729,37.5477913555081,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3130214,송화벽화시장(송화골목시장),전통시장,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨우장산역점,서울특별시강서구강서로247,파리바게뜨
BRD_20080500016,던킨/던킨도너츠,MA010120220800489629,던킨도너츠 염창점,던킨도너츠염창점,서울특별시 강서구 양천로 723,서울특별시강서구양천로723,서울특별시,강서구,강서구,11500,11500,126.876367913091,37.5495253325878,소상공인시장진흥공단 상가(상권)정보,미확인,exact,high,3110678,염창무학아파트,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,던킨도너츠염창점,서울특별시강서구양천로723,던킨던킨도너츠
BRD_20080100039,뚜레쥬르,MA010120220800490474,뚜레쥬르,뚜레쥬르,서울특별시 강서구 강서로 360,서울특별시강서구강서로360,서울특별시,강서구,강서구,11500,11500,126.838394959143,37.5576965604941,소상공인시장진흥공단 상가(상권)정보,미확인,exact,high,3110655,발산역 5번,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르,서울특별시강서구강서로360,뚜레쥬르
BRD_20260378,빵굼터,MA010120220800491425,빵굼터,빵굼터,서울특별시 강서구 양천로 128,서울특별시강서구양천로128,서울특별시,강서구,강서구,11500,11500,126.8182912629,37.5731284058468,소상공인시장진흥공단 상가(상권)정보,미확인,exact,high,3110641,공항고등학교,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,빵굼터,서울특별시강서구양천로128,빵굼터
BRD_20080200064,파리바게뜨,MA010120220800493539,파리바게뜨정릉국민대점,파리바게뜨정릉국민대점,서울특별시 성북구 정릉로10길 37,서울특별시성북구정릉로10길37,서울특별시,성북구,성북구,11290,11290,126.999580965335,37.6077852633367,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110282,국민대학교앞,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨정릉국민대점,서울특별시성북구정릉로10길37,파리바게뜨
BRD_20080100039,뚜레쥬르,MA010120220800493894,뚜레쥬르,뚜레쥬르,서울특별시 강서구 금낭화로 136,서울특별시강서구금낭화로136,서울특별시,강서구,강서구,11500,11500,126.813005576841,37.5773548205819,소상공인시장진흥공단 상가(상권)정보,미확인,exact,high,3110640,방화역 1번,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르,서울특별시강서구금낭화로136,뚜레쥬르
BRD_20080500016,던킨/던킨도너츠,MA010120220800498829,던킨도넛츠 등촌점,던킨도넛츠등촌점,서울특별시 강서구 공항대로 335,서울특별시강서구공항대로335,서울특별시,강서구,강서구,11500,11500,126.844912888923,37.5582008498607,소상공인시장진흥공단 상가(상권)정보,영업중,prefix_short_brand_confirmed_safe,medium,3110660,등촌3동주민센터,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,던킨도넛츠등촌점,서울특별시강서구공항대로335,던킨던킨도너츠
BRD_20080200064,파리바게뜨,MA010120220800499192,파리바게뜨화곡2동점,파리바게뜨화곡2동점,서울특별시 강서구 곰달래로49길 17,서울특별시강서구곰달래로49길17,서울특별시,강서구,강서구,11500,11500,126.857626238726,37.5325474185315,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110668,화곡2동주민센터,골목상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨화곡2동점,서울특별시강서구곰달래로49길17,파리바게뜨
