TRDAR_CD,TRDAR_CD_NM,TRDAR_SE_CD,TRDAR_SE_CD_NM,recent_4q_period_rows,recent_4q_sales_observed_q,recent_4q_positive_store_q,recent_4q_total_sales_won,recent_4q_total_transactions,recent_4q_avg_store_count,recent_4q_complete_observation,recent_4q_sales_per_store_won,recent_4q_average_ticket_won,prior_year_4q_period_rows,prior_year_4q_sales_observed_q,prior_year_4q_positive_store_q,prior_year_4q_total_sales_won,prior_year_4q_total_transactions,prior_year_4q_avg_store_count,prior_year_4q_complete_observation,prior_year_4q_sales_per_store_won,prior_year_4q_average_ticket_won,recent_4q_vs_prior_year_pct,seoul_observed_percentile,top_10pct_by_recent_actual,display_metric_name,display_period,forecast_available,forecast_status
3110124,뚝섬역교차로,A,골목상권,4,0,4,0.0,0.0,5.0,0,,,4.0,0.0,4.0,0.0,0.0,4.5,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110125,사근동살곶이상점가,A,골목상권,4,3,4,219440833.0,33500.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110126,서울숲역 1번,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,,,,,,,,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110127,성수1가1동주민센터,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110129,성원어린이공원,A,골목상권,4,0,4,0.0,0.0,3.0,0,,,4.0,0.0,4.0,0.0,0.0,2.5,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110132,성수2가3동주민센터,A,골목상권,4,3,4,2798963.0,60.0,3.75,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110134,성수119안전센터,A,골목상권,4,0,4,0.0,0.0,5.5,0,,,4.0,0.0,4.0,0.0,0.0,4.25,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110136,경수초등학교,A,골목상권,4,0,4,0.0,0.0,14.0,0,,,4.0,0.0,4.0,0.0,0.0,17.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110137,성수초등학교,A,골목상권,4,0,4,0.0,0.0,5.5,0,,,4.0,0.0,4.0,0.0,0.0,6.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110138,송정체육공원,A,골목상권,4,0,4,0.0,0.0,4.25,0,,,4.0,0.0,4.0,0.0,0.0,3.75,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110139,자양4동주민센터,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110140,건대입구역 6번,A,골목상권,4,0,4,0.0,0.0,3.0,0,,,4.0,0.0,4.0,0.0,0.0,3.25,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110141,건대입구역 1번,A,골목상권,4,0,4,0.0,0.0,3.0,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110142,화양사거리,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.5,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110144,어린이대공원역 4번,A,골목상권,4,0,4,0.0,0.0,3.0,0,,,4.0,0.0,4.0,0.0,0.0,2.25,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110145,장안초등학교,A,골목상권,4,0,4,0.0,0.0,4.0,0,,,4.0,0.0,4.0,0.0,0.0,4.5,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110146,신자초등학교,A,골목상권,4,0,4,0.0,0.0,1.25,0,,,4.0,0.0,4.0,0.0,0.0,2.5,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110147,능동우편취급국,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.5,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110149,세종대학교,A,골목상권,1,0,1,0.0,0.0,1.0,0,,,,,,,,,,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110150,중곡1동 마을마당,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110151,자양한강도서관,A,골목상권,4,0,0,0.0,0.0,0.0,0,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110153,중곡1동주민센터,A,골목상권,4,0,4,0.0,0.0,2.25,0,,,4.0,0.0,4.0,0.0,0.0,1.5,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110154,광진정말공원,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110155,광진구청,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,2.0,0.0,2.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110156,군자역 5번,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110158,중곡3동주민센터,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,4.0,4.0,12997405.0,1054.0,3.0,1.0,4332468.333333333,12331.503795066414,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110159,구의역 4번,A,골목상권,4,0,4,0.0,0.0,3.5,0,,,4.0,4.0,4.0,37740459.0,7153.0,4.25,1.0,8880108.0,5276.172095624213,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110160,광진경찰서,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110163,성자초등학교,A,골목상권,4,0,4,0.0,0.0,2.25,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110164,아차산역 5번,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110168,대원고등학교,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110169,성동초등학교,A,골목상권,4,3,4,24311437.0,3319.0,2.75,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110170,동대부여고,A,골목상권,4,0,4,0.0,0.0,4.25,0,,,4.0,0.0,4.0,0.0,0.0,4.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110172,광진초등학교,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110175,푸른동산공원,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110176,해오름공원,A,골목상권,4,0,4,0.0,0.0,2.25,0,,,4.0,0.0,4.0,0.0,0.0,4.25,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110178,장로회신학대학교,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,2.0,0.0,0.0,0.5,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110179,광나루역 1번,A,골목상권,4,3,4,79333781.0,13953.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110182,용두희망어린이공원,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110183,한국의류시험연구원,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110187,제기동역 6번,A,골목상권,4,0,0,0.0,0.0,0.0,0,,,4.0,0.0,2.0,0.0,0.0,0.5,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110188,용두동신동아아파트,A,골목상권,4,0,0,0.0,0.0,0.0,0,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110189,제기동역 1번,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,3.0,0.0,3.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110190,고대앞사거리,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110191,고려대역 6번,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110193,고려대역 4번,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110199,홍릉시장,A,골목상권,4,0,4,0.0,0.0,1.25,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110202,전농1동주민센터(전농시장),A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110203,떡전교사거리,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110204,간데메공원,A,골목상권,4,0,4,0.0,0.0,2.25,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110206,텃골근린공원,A,골목상권,4,0,4,0.0,0.0,3.75,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110210,서울시립대,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110212,답십리초등학교,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110216,전농중학교,A,골목상권,4,0,0,0.0,0.0,0.0,0,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110219,삼육보건대학교,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110220,외대앞역 1번,A,골목상권,4,0,4,0.0,0.0,3.25,0,,,4.0,0.0,4.0,0.0,0.0,4.75,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110224,외대앞역 2번,A,골목상권,4,2,4,59705155.0,8075.0,1.75,0,,,4.0,3.0,4.0,97754268.0,12458.0,1.75,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110227,답십리공원,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110228,장안근린공원,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.75,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110229,장평중학교,A,골목상권,4,1,4,180420535.0,16879.0,3.25,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110234,중랑역 4번,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110236,신묵초등학교,A,골목상권,4,0,4,0.0,0.0,2.25,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110240,태릉시장 특화거리,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110244,중화역 4번,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,2.0,4.0,126635137.0,15556.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110248,먹골파출소,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110249,중화역 1번,A,골목상권,4,0,4,0.0,0.0,3.0,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110251,장안중학교,A,골목상권,4,0,4,0.0,0.0,1.25,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110252,장안제일시장,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,1.75,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110253,중곡초등학교,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,1.0,0.0,0.0,0.25,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110254,오거리공원,A,골목상권,4,0,4,0.0,0.0,3.0,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110255,상봉역 4번,A,골목상권,1,0,1,0.0,0.0,1.0,0,,,,,,,,,,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110256,면목2동체육관,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110257,상봉역 7번,A,골목상권,4,0,4,0.0,0.0,3.0,0,,,4.0,0.0,4.0,0.0,0.0,2.25,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110258,면동초등학교,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
